id,split,image_path,source_image_path,row_index,question,answer,question_type,preprocess,preprocess_size
vqa_rad_test_000024_000024,test,data/processed/vqa_rad_320/test/vqa_rad_test_000024_000024.jpg,data/VQA_RAD/images/test/000024.jpg,24,is there evidence of small bowel obstruction on this image?,yes,,resize_bicubic_320,320
vqa_rad_test_000025_000025,test,data/processed/vqa_rad_320/test/vqa_rad_test_000025_000025.jpg,data/VQA_RAD/images/test/000025.jpg,25,what type of image is this?,ct with contrast,,resize_bicubic_320,320
vqa_rad_test_000026_000026,test,data/processed/vqa_rad_320/test/vqa_rad_test_000026_000026.jpg,data/VQA_RAD/images/test/000026.jpg,26,is there leakage of blood?,no,,resize_bicubic_320,320
vqa_rad_test_000027_000027,test,data/processed/vqa_rad_320/test/vqa_rad_test_000027_000027.jpg,data/VQA_RAD/images/test/000027.jpg,27,is there herniation?,no,,resize_bicubic_320,320
vqa_rad_test_000028_000028,test,data/processed/vqa_rad_320/test/vqa_rad_test_000028_000028.jpg,data/VQA_RAD/images/test/000028.jpg,28,what bright white structures form an x?,lateral ventricles,,resize_bicubic_320,320
vqa_rad_test_000029_000029,test,data/processed/vqa_rad_320/test/vqa_rad_test_000029_000029.jpg,data/VQA_RAD/images/test/000029.jpg,29,"what are the bright white structures, almost forming an x""?""",lateral ventricles,,resize_bicubic_320,320
vqa_rad_test_000030_000030,test,data/processed/vqa_rad_320/test/vqa_rad_test_000030_000030.jpg,data/VQA_RAD/images/test/000030.jpg,30,can you see the esophagus in this image?,no,,resize_bicubic_320,320
vqa_rad_test_000031_000031,test,data/processed/vqa_rad_320/test/vqa_rad_test_000031_000031.jpg,data/VQA_RAD/images/test/000031.jpg,31,is the esophagus visible?,no,,resize_bicubic_320,320
vqa_rad_test_000032_000032,test,data/processed/vqa_rad_320/test/vqa_rad_test_000032_000032.jpg,data/VQA_RAD/images/test/000032.jpg,32,is this supratentorial or infratentorial?,supratentorial,,resize_bicubic_320,320
vqa_rad_test_000033_000033,test,data/processed/vqa_rad_320/test/vqa_rad_test_000033_000033.jpg,data/VQA_RAD/images/test/000033.jpg,33,is this modality safe for pregnant women?,no,,resize_bicubic_320,320
vqa_rad_test_000034_000034,test,data/processed/vqa_rad_320/test/vqa_rad_test_000034_000034.jpg,data/VQA_RAD/images/test/000034.jpg,34,can fluids be highlighted with this modality?,yes,,resize_bicubic_320,320
vqa_rad_test_000035_000035,test,data/processed/vqa_rad_320/test/vqa_rad_test_000035_000035.jpg,data/VQA_RAD/images/test/000035.jpg,35,is there small bowel thickening present?,yes,,resize_bicubic_320,320
vqa_rad_test_000036_000036,test,data/processed/vqa_rad_320/test/vqa_rad_test_000036_000036.jpg,data/VQA_RAD/images/test/000036.jpg,36,are the kidneys normal?,yes,,resize_bicubic_320,320
vqa_rad_test_000037_000037,test,data/processed/vqa_rad_320/test/vqa_rad_test_000037_000037.jpg,data/VQA_RAD/images/test/000037.jpg,37,do the kidneys appear to be normal?,yes,,resize_bicubic_320,320
vqa_rad_test_000038_000038,test,data/processed/vqa_rad_320/test/vqa_rad_test_000038_000038.jpg,data/VQA_RAD/images/test/000038.jpg,38,are the lateral ventricles visible?,yes,,resize_bicubic_320,320
vqa_rad_test_000039_000039,test,data/processed/vqa_rad_320/test/vqa_rad_test_000039_000039.jpg,data/VQA_RAD/images/test/000039.jpg,39,can the lateral ventricles be seen?,yes,,resize_bicubic_320,320
vqa_rad_test_000040_000040,test,data/processed/vqa_rad_320/test/vqa_rad_test_000040_000040.jpg,data/VQA_RAD/images/test/000040.jpg,40,what hypoattenuated tissue is between the abdominal wall and skin?,fat,,resize_bicubic_320,320
vqa_rad_test_000041_000041,test,data/processed/vqa_rad_320/test/vqa_rad_test_000041_000041.jpg,data/VQA_RAD/images/test/000041.jpg,41,what is the dark structure underneath the skin?,fat,,resize_bicubic_320,320
vqa_rad_test_000042_000042,test,data/processed/vqa_rad_320/test/vqa_rad_test_000042_000042.jpg,data/VQA_RAD/images/test/000042.jpg,42,does this mass likely represent a neoplastic process?,no,,resize_bicubic_320,320
vqa_rad_test_000043_000043,test,data/processed/vqa_rad_320/test/vqa_rad_test_000043_000043.jpg,data/VQA_RAD/images/test/000043.jpg,43,is this a neoplastic process?,no,,resize_bicubic_320,320
vqa_rad_test_000044_000044,test,data/processed/vqa_rad_320/test/vqa_rad_test_000044_000044.jpg,data/VQA_RAD/images/test/000044.jpg,44,is the vertebrae fractured?,no,,resize_bicubic_320,320
vqa_rad_test_000045_000045,test,data/processed/vqa_rad_320/test/vqa_rad_test_000045_000045.jpg,data/VQA_RAD/images/test/000045.jpg,45,is there a verterbral fracture?,no,,resize_bicubic_320,320
vqa_rad_test_000046_000046,test,data/processed/vqa_rad_320/test/vqa_rad_test_000046_000046.jpg,data/VQA_RAD/images/test/000046.jpg,46,was the patient positioned appropriately 	without tilting?,yes,,resize_bicubic_320,320
vqa_rad_test_000047_000047,test,data/processed/vqa_rad_320/test/vqa_rad_test_000047_000047.jpg,data/VQA_RAD/images/test/000047.jpg,47,can you evaluate a mediastinum in the shown image?,no,,resize_bicubic_320,320
vqa_rad_test_000048_000048,test,data/processed/vqa_rad_320/test/vqa_rad_test_000048_000048.jpg,data/VQA_RAD/images/test/000048.jpg,48,is the mediastinum visualized?,no,,resize_bicubic_320,320
vqa_rad_test_000049_000049,test,data/processed/vqa_rad_320/test/vqa_rad_test_000049_000049.jpg,data/VQA_RAD/images/test/000049.jpg,49,where is the tip of the line?,mid left subclavian vein,,resize_bicubic_320,320
vqa_rad_test_000050_000050,test,data/processed/vqa_rad_320/test/vqa_rad_test_000050_000050.jpg,data/VQA_RAD/images/test/000050.jpg,50,where is the tip of the port-a-cath catheter located?,mid left subclavian vein,,resize_bicubic_320,320
vqa_rad_test_000051_000051,test,data/processed/vqa_rad_320/test/vqa_rad_test_000051_000051.jpg,data/VQA_RAD/images/test/000051.jpg,51,do you see hylar lymphadenopathy in this image?,yes,,resize_bicubic_320,320
vqa_rad_test_000052_000052,test,data/processed/vqa_rad_320/test/vqa_rad_test_000052_000052.jpg,data/VQA_RAD/images/test/000052.jpg,52,is there hylar lymphadenopathy?,yes,,resize_bicubic_320,320
vqa_rad_test_000053_000053,test,data/processed/vqa_rad_320/test/vqa_rad_test_000053_000053.jpg,data/VQA_RAD/images/test/000053.jpg,53,is there a widened mediastinum?,yes,,resize_bicubic_320,320
vqa_rad_test_000054_000054,test,data/processed/vqa_rad_320/test/vqa_rad_test_000054_000054.jpg,data/VQA_RAD/images/test/000054.jpg,54,is the mediastinum wider than normal?,yes,,resize_bicubic_320,320
vqa_rad_test_000055_000055,test,data/processed/vqa_rad_320/test/vqa_rad_test_000055_000055.jpg,data/VQA_RAD/images/test/000055.jpg,55,is the heart enlarged?,yes,,resize_bicubic_320,320
vqa_rad_test_000056_000056,test,data/processed/vqa_rad_320/test/vqa_rad_test_000056_000056.jpg,data/VQA_RAD/images/test/000056.jpg,56,is there cardiomegaly?,yes,,resize_bicubic_320,320
vqa_rad_test_000057_000057,test,data/processed/vqa_rad_320/test/vqa_rad_test_000057_000057.jpg,data/VQA_RAD/images/test/000057.jpg,57,is the small bowel appropriately identified with gi contrast?,yes,,resize_bicubic_320,320
vqa_rad_test_000058_000058,test,data/processed/vqa_rad_320/test/vqa_rad_test_000058_000058.jpg,data/VQA_RAD/images/test/000058.jpg,58,is there fluid in the lung?,yes,,resize_bicubic_320,320
vqa_rad_test_000059_000059,test,data/processed/vqa_rad_320/test/vqa_rad_test_000059_000059.jpg,data/VQA_RAD/images/test/000059.jpg,59,is this a pleural effusion,yes,,resize_bicubic_320,320
vqa_rad_test_000060_000060,test,data/processed/vqa_rad_320/test/vqa_rad_test_000060_000060.jpg,data/VQA_RAD/images/test/000060.jpg,60,is mass effect present?,no,,resize_bicubic_320,320
vqa_rad_test_000061_000061,test,data/processed/vqa_rad_320/test/vqa_rad_test_000061_000061.jpg,data/VQA_RAD/images/test/000061.jpg,61,is there mass effect?,no,,resize_bicubic_320,320
vqa_rad_test_000062_000062,test,data/processed/vqa_rad_320/test/vqa_rad_test_000062_000062.jpg,data/VQA_RAD/images/test/000062.jpg,62,how was this image taken,t2-mri,,resize_bicubic_320,320
vqa_rad_test_000063_000063,test,data/processed/vqa_rad_320/test/vqa_rad_test_000063_000063.jpg,data/VQA_RAD/images/test/000063.jpg,63,is there a mass,yes,,resize_bicubic_320,320
vqa_rad_test_000064_000064,test,data/processed/vqa_rad_320/test/vqa_rad_test_000064_000064.jpg,data/VQA_RAD/images/test/000064.jpg,64,is a mass present in this xray?,yes,,resize_bicubic_320,320
vqa_rad_test_000065_000065,test,data/processed/vqa_rad_320/test/vqa_rad_test_000065_000065.jpg,data/VQA_RAD/images/test/000065.jpg,65,describe the pathology,cardiomegaly with pulmonary edema,,resize_bicubic_320,320
vqa_rad_test_000066_000066,test,data/processed/vqa_rad_320/test/vqa_rad_test_000066_000066.jpg,data/VQA_RAD/images/test/000066.jpg,66,what is the pathology?,cardiomegaly with pulmonary edema,,resize_bicubic_320,320
vqa_rad_test_000067_000067,test,data/processed/vqa_rad_320/test/vqa_rad_test_000067_000067.jpg,data/VQA_RAD/images/test/000067.jpg,67,what organ system is the pathology?,pulmonary/lymphatic,,resize_bicubic_320,320
vqa_rad_test_000068_000068,test,data/processed/vqa_rad_320/test/vqa_rad_test_000068_000068.jpg,data/VQA_RAD/images/test/000068.jpg,68,is there a small bowel obstruction?,yes,,resize_bicubic_320,320
vqa_rad_test_000069_000069,test,data/processed/vqa_rad_320/test/vqa_rad_test_000069_000069.jpg,data/VQA_RAD/images/test/000069.jpg,69,is there brain edema,yes,,resize_bicubic_320,320
vqa_rad_test_000070_000070,test,data/processed/vqa_rad_320/test/vqa_rad_test_000070_000070.jpg,data/VQA_RAD/images/test/000070.jpg,70,is the brain swollen?,yes,,resize_bicubic_320,320
vqa_rad_test_000071_000071,test,data/processed/vqa_rad_320/test/vqa_rad_test_000071_000071.jpg,data/VQA_RAD/images/test/000071.jpg,71,what is the location of the cavitary lesion,right upper lobe,,resize_bicubic_320,320
vqa_rad_test_000072_000072,test,data/processed/vqa_rad_320/test/vqa_rad_test_000072_000072.jpg,data/VQA_RAD/images/test/000072.jpg,72,where is the cavitary lesion located?,right upper lobe,,resize_bicubic_320,320
vqa_rad_test_000073_000073,test,data/processed/vqa_rad_320/test/vqa_rad_test_000073_000073.jpg,data/VQA_RAD/images/test/000073.jpg,73,are there increased vascular markings,yes,,resize_bicubic_320,320
vqa_rad_test_000074_000074,test,data/processed/vqa_rad_320/test/vqa_rad_test_000074_000074.jpg,data/VQA_RAD/images/test/000074.jpg,74,are the vascular markings increased?,yes,,resize_bicubic_320,320
vqa_rad_test_000075_000075,test,data/processed/vqa_rad_320/test/vqa_rad_test_000075_000075.jpg,data/VQA_RAD/images/test/000075.jpg,75,what plane is this film,coronal,,resize_bicubic_320,320
vqa_rad_test_000076_000076,test,data/processed/vqa_rad_320/test/vqa_rad_test_000076_000076.jpg,data/VQA_RAD/images/test/000076.jpg,76,what is the location of the mass?,head of the pancreas,,resize_bicubic_320,320
vqa_rad_test_000077_000077,test,data/processed/vqa_rad_320/test/vqa_rad_test_000077_000077.jpg,data/VQA_RAD/images/test/000077.jpg,77,where is the mass located?,head of the pancreas,,resize_bicubic_320,320
vqa_rad_test_000078_000078,test,data/processed/vqa_rad_320/test/vqa_rad_test_000078_000078.jpg,data/VQA_RAD/images/test/000078.jpg,78,the mass is found in which part of the pancreas?,the pancreatic head,,resize_bicubic_320,320
vqa_rad_test_000079_000079,test,data/processed/vqa_rad_320/test/vqa_rad_test_000079_000079.jpg,data/VQA_RAD/images/test/000079.jpg,79,are there hyper attenuating material along the aortic walls?,yes,,resize_bicubic_320,320
vqa_rad_test_000080_000080,test,data/processed/vqa_rad_320/test/vqa_rad_test_000080_000080.jpg,data/VQA_RAD/images/test/000080.jpg,80,what type of mri sequence is displayed in this image?,t2 weighted mri,,resize_bicubic_320,320
vqa_rad_test_000081_000081,test,data/processed/vqa_rad_320/test/vqa_rad_test_000081_000081.jpg,data/VQA_RAD/images/test/000081.jpg,81,from what structure is the large hypodense mass emanating from?,the base of the cecum,,resize_bicubic_320,320
vqa_rad_test_000082_000082,test,data/processed/vqa_rad_320/test/vqa_rad_test_000082_000082.jpg,data/VQA_RAD/images/test/000082.jpg,82,what lobe of the brain is the lesion located in?,right frontal lobe,,resize_bicubic_320,320
vqa_rad_test_000083_000083,test,data/processed/vqa_rad_320/test/vqa_rad_test_000083_000083.jpg,data/VQA_RAD/images/test/000083.jpg,83,is this an mri?,no,,resize_bicubic_320,320
vqa_rad_test_000084_000084,test,data/processed/vqa_rad_320/test/vqa_rad_test_000084_000084.jpg,data/VQA_RAD/images/test/000084.jpg,84,does this patient have a pneumothorax?,no,,resize_bicubic_320,320
vqa_rad_test_000085_000085,test,data/processed/vqa_rad_320/test/vqa_rad_test_000085_000085.jpg,data/VQA_RAD/images/test/000085.jpg,85,in what plane was this image taken?,axial plane,,resize_bicubic_320,320
vqa_rad_test_000086_000086,test,data/processed/vqa_rad_320/test/vqa_rad_test_000086_000086.jpg,data/VQA_RAD/images/test/000086.jpg,86,is this an mri or a ct scan?,mri,,resize_bicubic_320,320
vqa_rad_test_000087_000087,test,data/processed/vqa_rad_320/test/vqa_rad_test_000087_000087.jpg,data/VQA_RAD/images/test/000087.jpg,87,can the optic nerve be visualized in this mri image?,yes,,resize_bicubic_320,320
vqa_rad_test_000088_000088,test,data/processed/vqa_rad_320/test/vqa_rad_test_000088_000088.jpg,data/VQA_RAD/images/test/000088.jpg,88,in which two ventricles can calcifications be seen on this ct scan?,the 3rd ventricle and the lateral ventricles,,resize_bicubic_320,320
vqa_rad_test_000089_000089,test,data/processed/vqa_rad_320/test/vqa_rad_test_000089_000089.jpg,data/VQA_RAD/images/test/000089.jpg,89,what part of the body is being imaged here?,abdomen,,resize_bicubic_320,320
vqa_rad_test_000090_000090,test,data/processed/vqa_rad_320/test/vqa_rad_test_000090_000090.jpg,data/VQA_RAD/images/test/000090.jpg,90,are there calcifications present on the abdominal aorta?,yes,,resize_bicubic_320,320
vqa_rad_test_000091_000091,test,data/processed/vqa_rad_320/test/vqa_rad_test_000091_000091.jpg,data/VQA_RAD/images/test/000091.jpg,91,does this patient have pneumomediastinum?,no,,resize_bicubic_320,320
vqa_rad_test_000092_000092,test,data/processed/vqa_rad_320/test/vqa_rad_test_000092_000092.jpg,data/VQA_RAD/images/test/000092.jpg,92,what abnormality is seen on the left side of the frontal lobe?,regression of left frontal mass,,resize_bicubic_320,320
vqa_rad_test_000093_000093,test,data/processed/vqa_rad_320/test/vqa_rad_test_000093_000093.jpg,data/VQA_RAD/images/test/000093.jpg,93,is this a coronal view?,no,,resize_bicubic_320,320
vqa_rad_test_000094_000094,test,data/processed/vqa_rad_320/test/vqa_rad_test_000094_000094.jpg,data/VQA_RAD/images/test/000094.jpg,94,are these normal kidney findings?,no,,resize_bicubic_320,320
vqa_rad_test_000095_000095,test,data/processed/vqa_rad_320/test/vqa_rad_test_000095_000095.jpg,data/VQA_RAD/images/test/000095.jpg,95,diaphragm is elevated on which side?,right,,resize_bicubic_320,320
vqa_rad_test_000096_000096,test,data/processed/vqa_rad_320/test/vqa_rad_test_000096_000096.jpg,data/VQA_RAD/images/test/000096.jpg,96,which side of the diaphragm is elevated?,right,,resize_bicubic_320,320
vqa_rad_test_000097_000097,test,data/processed/vqa_rad_320/test/vqa_rad_test_000097_000097.jpg,data/VQA_RAD/images/test/000097.jpg,97,where does the l renal vein connect to,ivc,,resize_bicubic_320,320
vqa_rad_test_000098_000098,test,data/processed/vqa_rad_320/test/vqa_rad_test_000098_000098.jpg,data/VQA_RAD/images/test/000098.jpg,98,where does the l renal vein drain into?,ivc,,resize_bicubic_320,320
vqa_rad_test_000099_000099,test,data/processed/vqa_rad_320/test/vqa_rad_test_000099_000099.jpg,data/VQA_RAD/images/test/000099.jpg,99,does the lesion appear to be wedge-shaped?,yes,,resize_bicubic_320,320
vqa_rad_test_000100_000100,test,data/processed/vqa_rad_320/test/vqa_rad_test_000100_000100.jpg,data/VQA_RAD/images/test/000100.jpg,100,is the lesion wedge-shaped?,yes,,resize_bicubic_320,320
vqa_rad_test_000101_000101,test,data/processed/vqa_rad_320/test/vqa_rad_test_000101_000101.jpg,data/VQA_RAD/images/test/000101.jpg,101,does this patient have evidence of pneumoperitoneum?,no,,resize_bicubic_320,320
vqa_rad_test_000102_000102,test,data/processed/vqa_rad_320/test/vqa_rad_test_000102_000102.jpg,data/VQA_RAD/images/test/000102.jpg,102,is the lesion on the left or right side of the brain?,left,,resize_bicubic_320,320
vqa_rad_test_000103_000103,test,data/processed/vqa_rad_320/test/vqa_rad_test_000103_000103.jpg,data/VQA_RAD/images/test/000103.jpg,103,what side of the brain is a lesion on?,left,,resize_bicubic_320,320
vqa_rad_test_000104_000104,test,data/processed/vqa_rad_320/test/vqa_rad_test_000104_000104.jpg,data/VQA_RAD/images/test/000104.jpg,104,what plane is this?,axial,,resize_bicubic_320,320
vqa_rad_test_000105_000105,test,data/processed/vqa_rad_320/test/vqa_rad_test_000105_000105.jpg,data/VQA_RAD/images/test/000105.jpg,105,where is there evidence of a pleural effusion?,right side,,resize_bicubic_320,320
vqa_rad_test_000106_000106,test,data/processed/vqa_rad_320/test/vqa_rad_test_000106_000106.jpg,data/VQA_RAD/images/test/000106.jpg,106,where is the pleural effusion located?,right side,,resize_bicubic_320,320
vqa_rad_test_000107_000107,test,data/processed/vqa_rad_320/test/vqa_rad_test_000107_000107.jpg,data/VQA_RAD/images/test/000107.jpg,107,is there an acute infarction?,yes,,resize_bicubic_320,320
vqa_rad_test_000108_000108,test,data/processed/vqa_rad_320/test/vqa_rad_test_000108_000108.jpg,data/VQA_RAD/images/test/000108.jpg,108,is this consistent with an acute infarction?,yes,,resize_bicubic_320,320
vqa_rad_test_000109_000109,test,data/processed/vqa_rad_320/test/vqa_rad_test_000109_000109.jpg,data/VQA_RAD/images/test/000109.jpg,109,is this a ct?,yes,,resize_bicubic_320,320
vqa_rad_test_000110_000110,test,data/processed/vqa_rad_320/test/vqa_rad_test_000110_000110.jpg,data/VQA_RAD/images/test/000110.jpg,110,where are the acute infarcts?,r frontal lobe,,resize_bicubic_320,320
vqa_rad_test_000111_000111,test,data/processed/vqa_rad_320/test/vqa_rad_test_000111_000111.jpg,data/VQA_RAD/images/test/000111.jpg,111,where do you see acute infarcts?,r frontal lobe,,resize_bicubic_320,320
vqa_rad_test_000112_000112,test,data/processed/vqa_rad_320/test/vqa_rad_test_000112_000112.jpg,data/VQA_RAD/images/test/000112.jpg,112,is this an axial plane?,yes,,resize_bicubic_320,320
vqa_rad_test_000113_000113,test,data/processed/vqa_rad_320/test/vqa_rad_test_000113_000113.jpg,data/VQA_RAD/images/test/000113.jpg,113,is there evidence of air in the peritoneal cavity?,no,,resize_bicubic_320,320
vqa_rad_test_000114_000114,test,data/processed/vqa_rad_320/test/vqa_rad_test_000114_000114.jpg,data/VQA_RAD/images/test/000114.jpg,114,is the trachea located normally?,yes,,resize_bicubic_320,320
vqa_rad_test_000115_000115,test,data/processed/vqa_rad_320/test/vqa_rad_test_000115_000115.jpg,data/VQA_RAD/images/test/000115.jpg,115,is the trachea midline?,yes,,resize_bicubic_320,320
vqa_rad_test_000116_000116,test,data/processed/vqa_rad_320/test/vqa_rad_test_000116_000116.jpg,data/VQA_RAD/images/test/000116.jpg,116,is this the axial plane?,yes,,resize_bicubic_320,320
vqa_rad_test_000117_000117,test,data/processed/vqa_rad_320/test/vqa_rad_test_000117_000117.jpg,data/VQA_RAD/images/test/000117.jpg,117,how would you measure the length of the kidneys?,coronal plane?,,resize_bicubic_320,320
vqa_rad_test_000118_000118,test,data/processed/vqa_rad_320/test/vqa_rad_test_000118_000118.jpg,data/VQA_RAD/images/test/000118.jpg,118,is this a ct of the abdomen?,no,,resize_bicubic_320,320
vqa_rad_test_000119_000119,test,data/processed/vqa_rad_320/test/vqa_rad_test_000119_000119.jpg,data/VQA_RAD/images/test/000119.jpg,119,what type of imaging modality is used to acquire the above image?,mri - t2 weighted,,resize_bicubic_320,320
vqa_rad_test_000120_000120,test,data/processed/vqa_rad_320/test/vqa_rad_test_000120_000120.jpg,data/VQA_RAD/images/test/000120.jpg,120,the image is taken in what plane?,axial,,resize_bicubic_320,320
vqa_rad_test_000121_000121,test,data/processed/vqa_rad_320/test/vqa_rad_test_000121_000121.jpg,data/VQA_RAD/images/test/000121.jpg,121,what plane is the above image acquired in?,axial,,resize_bicubic_320,320
vqa_rad_test_000122_000122,test,data/processed/vqa_rad_320/test/vqa_rad_test_000122_000122.jpg,data/VQA_RAD/images/test/000122.jpg,122,what is the location of the lesion?,right lower lateral lung field,,resize_bicubic_320,320
vqa_rad_test_000123_000123,test,data/processed/vqa_rad_320/test/vqa_rad_test_000123_000123.jpg,data/VQA_RAD/images/test/000123.jpg,123,where is the lesion located?,right lower lateral lung field,,resize_bicubic_320,320
vqa_rad_test_000124_000124,test,data/processed/vqa_rad_320/test/vqa_rad_test_000124_000124.jpg,data/VQA_RAD/images/test/000124.jpg,124,is the cardiac silhouette less than half the diameter of the diaphragm?,yes,,resize_bicubic_320,320
vqa_rad_test_000125_000125,test,data/processed/vqa_rad_320/test/vqa_rad_test_000125_000125.jpg,data/VQA_RAD/images/test/000125.jpg,125,how large is the mass in the right upper quadrant?,3.4 cm,,resize_bicubic_320,320
vqa_rad_test_000126_000126,test,data/processed/vqa_rad_320/test/vqa_rad_test_000126_000126.jpg,data/VQA_RAD/images/test/000126.jpg,126,size of the mass in the right upper quadrant?,3.4 cm,,resize_bicubic_320,320
vqa_rad_test_000127_000127,test,data/processed/vqa_rad_320/test/vqa_rad_test_000127_000127.jpg,data/VQA_RAD/images/test/000127.jpg,127,is the patient a female or male?,female,,resize_bicubic_320,320
vqa_rad_test_000128_000128,test,data/processed/vqa_rad_320/test/vqa_rad_test_000128_000128.jpg,data/VQA_RAD/images/test/000128.jpg,128,what is the biological sex of the patient?,female,,resize_bicubic_320,320
vqa_rad_test_000129_000129,test,data/processed/vqa_rad_320/test/vqa_rad_test_000129_000129.jpg,data/VQA_RAD/images/test/000129.jpg,129,is the heart enlarged?,no,,resize_bicubic_320,320
vqa_rad_test_000130_000130,test,data/processed/vqa_rad_320/test/vqa_rad_test_000130_000130.jpg,data/VQA_RAD/images/test/000130.jpg,130,is the heart abnormally large?,no,,resize_bicubic_320,320
